,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Name,1.0,0.1460825894731772,0.5497861603185205,0.5994272916202881,0.5654744507605063,0.9252346637203076,0.9247405466877862,0.9837301105786612,0.832267896871724,0.9365738288514922,0.9698803666880368,0.8658279642091455,0.9288059524221889,0.8960723900898785,0.5737992132366614,0.3843270427338768
Platform,0.1460825894731772,1.0,0.3737682918445791,0.1517416361253521,0.24553765116544907,0.17745981746354322,0.16044559245692172,0.2108637609497826,0.17918964341612853,0.16222666015668233,0.21780500186199925,0.39905742025518404,0.2688800967299422,0.3510534146649223,0.2870537741718851,0.17863040373987862
Year_of_Release,0.5497861603185205,0.3737682918445791,1.0,0.07738371912249122,0.3516300756589813,0.09474064969017902,0.10262597774074954,0.1612173168239011,0.08333969143030844,0.10229986158389813,0.16770427979888183,0.27862177873706895,0.29410461418261663,0.2662529029836783,0.2832220112675272,0.20341860786303645
Genre,0.5994272916202881,0.1517416361253521,0.07738371912249122,1.0,0.30947795074108136,0.11305202628703521,0.0864108711947447,0.15546452758275098,0.08332437310721008,0.09142763373693799,0.17253551414605803,0.22631751822605872,0.1290304545801172,0.2066734695120056,0.588081206380793,0.3098388752933454
Publisher,0.5654744507605063,0.24553765116544907,0.3516300756589813,0.30947795074108136,1.0,0.2907673889617736,0.2548767922140722,0.46101626588182004,0.2051830831299084,0.2996485257114486,0.41489986584870675,0.41393326940592196,0.32577376179445516,0.29979115864122147,0.5986329462332042,0.2077256446165236
NA_Sales,0.9252346637203076,0.17745981746354322,0.09474064969017902,0.11305202628703521,0.2907673889617736,1.0,0.8418075638173049,0.4686073510910131,0.7267571488457016,0.9557933689680705,0.23358030894145307,0.2839170597129707,0.08579601091986323,0.2462081057497494,0.5680931824883452,0.09982590580048717
EU_Sales,0.9247405466877862,0.16044559245692172,0.10262597774074954,0.0864108711947447,0.2548767922140722,0.8418075638173049,1.0,0.5199288656207056,0.7163296993287132,0.9393130132383912,0.21310193366198873,0.2657400350122543,0.055915409528260185,0.28350413785671685,0.5376965929213896,0.09997020377847124
JP_Sales,0.9837301105786612,0.2108637609497826,0.1612173168239011,0.15546452758275098,0.46101626588182004,0.4686073510910131,0.5199288656207056,1.0,0.3948230746628969,0.6135455962613953,0.14731394007125037,0.16829932508140916,0.12752142443653133,0.07277261911325043,0.647335266214408,0.09057612328868236
Other_Sales,0.832267896871724,0.17918964341612853,0.08333969143030844,0.08332437310721008,0.2051830831299084,0.7267571488457016,0.7163296993287132,0.3948230746628969,1.0,0.8040276480546905,0.19150943765575795,0.23951324932495616,0.05708268001212967,0.2400852570092214,0.5068373340742158,0.08734202909745663
Global_Sales,0.9365738288514922,0.16222666015668233,0.10229986158389813,0.09142763373693799,0.2996485257114486,0.9557933689680705,0.9393130132383912,0.6135455962613953,0.8040276480546905,1.0,0.23755572228274216,0.29039668469749574,0.0883485263469671,0.2641507780488077,0.5766999051767705,0.09861631487826472
Critic_Score,0.9698803666880368,0.21780500186199925,0.16770427979888183,0.17253551414605803,0.41489986584870675,0.23358030894145307,0.21310193366198873,0.14731394007125037,0.19150943765575795,0.23755572228274216,1.0,0.39647816116658013,0.5803183710099119,0.2656387061284996,0.7402674121242513,0.08821749772417499
Critic_Count,0.8658279642091455,0.39905742025518404,0.27862177873706895,0.22631751822605872,0.41393326940592196,0.2839170597129707,0.2657400350122543,0.16829932508140916,0.23951324932495616,0.29039668469749574,0.39647816116658013,1.0,0.19508730126778215,0.3656025656033975,0.6662835134862858,0.31266171478099364
User_Score,0.9288059524221889,0.2688800967299422,0.29410461418261663,0.1290304545801172,0.32577376179445516,0.08579601091986323,0.055915409528260185,0.12752142443653133,0.05708268001212967,0.0883485263469671,0.5803183710099119,0.19508730126778215,1.0,0.017546035257793784,0.6367729191273335,0.09285641300459073
User_Count,0.8960723900898785,0.3510534146649223,0.2662529029836783,0.2066734695120056,0.29979115864122147,0.2462081057497494,0.28350413785671685,0.07277261911325043,0.2400852570092214,0.2641507780488077,0.2656387061284996,0.3656025656033975,0.017546035257793784,1.0,0.7104529123246588,0.28815980943695685
Developer,0.5737992132366614,0.2870537741718851,0.2832220112675272,0.588081206380793,0.5986329462332042,0.5680931824883452,0.5376965929213896,0.647335266214408,0.5068373340742158,0.5766999051767705,0.7402674121242513,0.6662835134862858,0.6367729191273335,0.7104529123246588,1.0,0.5414767944156998
Rating,0.3843270427338768,0.17863040373987862,0.20341860786303645,0.3098388752933454,0.2077256446165236,0.09982590580048717,0.09997020377847124,0.09057612328868236,0.08734202909745663,0.09861631487826472,0.08821749772417499,0.31266171478099364,0.09285641300459073,0.28815980943695685,0.5414767944156998,1.0
